,Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments
7087,Björk,Joga,0.321,0.697,1.0,-6.266,0.057,0.405,0.000155,0.0721,0.234,146.161,305667.0,2530333.0,57110.0,1853.0
7088,Björk,All Is Full of Love,0.481,0.49,6.0,-10.098,0.0271,0.0536,0.123,0.0915,0.0378,152.04,287000.0,4432383.0,54478.0,2060.0
7089,Björk,Big Time Sensuality,0.723,0.732,1.0,-12.251,0.0963,7.67e-05,0.0135,0.18,0.516,118.582,236640.0,17494.0,550.0,66.0
7090,Björk,Come to Me,0.485,0.594,5.0,-13.563,0.0335,0.00186,3.41e-05,0.115,0.344,173.456,295360.0,18739.0,277.0,19.0
7092,Don McLean,Vincent,0.419,0.085,7.0,-19.387,0.0362,0.908,5.33e-06,0.34,0.458,91.509,243493.0,61318189.0,393971.0,18592.0
7093,Don McLean,Till Tomorrow,0.409,0.126,3.0,-18.198,0.0317,0.897,0.00127,0.118,0.26,91.496,135373.0,239263.0,2948.0,15.0
7094,Don McLean,And I Love You So,0.31,0.187,11.0,-15.96,0.0285,0.703,0.203,0.206,0.127,90.977,257693.0,5150649.0,15728.0,1210.0
7095,Don McLean,Castles in the Air,0.421,0.473,4.0,-13.436,0.0333,0.361,9.93e-06,0.288,0.717,84.503,222787.0,4071171.0,20947.0,2037.0
7096,Don McLean,Empty Chairs,0.507,0.101,7.0,-19.953,0.0336,0.912,7.11e-05,0.288,0.455,93.487,207773.0,1728655.0,6947.0,843.0
7097,Don McLean,Babylon,0.533,0.179,9.0,-16.179,0.0306,0.842,0.00439,0.114,0.684,108.317,101173.0,27375.0,548.0,42.0
7098,Don McLean,It's Just the Sun,0.586,0.415,0.0,-12.337,0.0281,0.403,6.71e-06,0.368,0.794,107.818,151413.0,97175.0,520.0,27.0
7099,Don McLean,Crossroads,0.395,0.0844,7.0,-20.392,0.0482,0.952,0.0068,0.0756,0.175,83.998,219573.0,44823.0,467.0,48.0
7100,Don McLean,Crying,0.302,0.344,0.0,-11.894,0.0277,0.466,1.53e-06,0.184,0.242,140.763,230560.0,5783556.0,27661.0,2057.0
